date,variation,load_kg,reps,rir,warmup,fail,notes
2026-03-07,flat,20,10,,true,false,""
2026-03-07,flat,40,6,,true,false,""
2026-03-07,flat,60,3,,true,false,""
2026-03-07,flat,70,3,,true,false,""
2026-03-07,flat,80,2,1.5,true,false,""
2026-03-07,flat,90,1,1,false,false,""
2026-03-07,flat,85,2,0.5,false,false,""
2026-03-07,flat,80,3,0.5,false,false,""
2026-03-05,flat,20,10,,true,false,""
2026-03-05,flat,60,5,,true,false,""
2026-03-05,flat,70,3,,true,false,""
2026-03-05,flat,80,5,0,false,false,""
2026-03-05,flat,85,3,0,false,false,""
2026-03-03,flat,20,10,,true,false,""
2026-03-03,flat,60,5,,true,false,""
2026-03-03,flat,70,3,,true,false,""
2026-03-03,flat,70,3,,true,false,""
2026-03-03,flat,80,1,1.5,false,false,""
2026-03-03,flat,85,1,2.5,false,false,""
2026-03-03,flat,92.5,0,0,false,false,""
2026-03-02,flat,20,10,,true,false,""
2026-03-02,flat,40,8,,true,false,""
2026-03-02,flat,60,5,,true,false,""
2026-03-02,flat,70,3,,true,false,""
2026-03-02,flat,80,5,1.5,false,false,""
2026-03-02,flat,80,5,0.5,false,false,""
2026-03-02,flat,80,4,0.5,false,false,""
2026-02-28,flat,20,10,,true,false,""
2026-02-28,flat,40,8,,true,false,""
2026-02-28,flat,60,5,,true,false,""
2026-02-28,flat,70,3,,true,false,""
2026-02-28,flat,80,1,,true,false,""
2026-02-28,flat,90,1,1,false,false,""
2026-02-28,flat,90,1,0.5,false,false,""
2026-02-28,flat,80,4,1,false,false,""
2026-02-28,flat,80,4,0.5,false,false,""
2026-02-26,flat,20,10,,true,false,""
2026-02-26,flat,40,8,,true,false,""
2026-02-26,flat,60,5,,true,false,""
2026-02-26,flat,70,3,,true,false,""
2026-02-26,flat,80,1,,true,false,""
2026-02-26,flat,85,1,2,false,false,""
2026-02-26,flat,85,1,2,false,false,""
2026-02-26,flat,85,1,2,false,false,""
2026-02-26,flat,85,1,2,false,false,""
2026-02-23,flat,20,10,,true,false,""
2026-02-23,flat,40,8,,true,false,""
2026-02-23,flat,60,5,,true,false,""
2026-02-23,flat,72.5,3,,true,false,""
2026-02-23,flat,80,1,,true,false,""
2026-02-23,flat,90,1,0.5,false,false,""
2026-02-23,flat,75,4,1.5,false,false,""
2026-02-23,flat,75,4,1.5,false,false,""
2026-02-23,flat,75,4,2,false,false,""
2026-02-23,flat,75,4,2,false,false,""
2026-02-23,incline,40,12,4,false,false,""
2026-02-23,incline,50,8,1.5,false,false,""
2026-02-23,incline,50,6,1.5,false,false,""
2026-02-21,flat,20,5,,true,false,""
2026-02-21,flat,40,5,,true,false,""
2026-02-21,flat,60,5,,true,false,""
2026-02-21,flat,70,3,,true,false,""
2026-02-21,flat,80,1,,false,false,""
2026-02-21,flat,85,1,2.5,false,false,""
2026-02-21,flat,70,5,2.5,false,false,""
2026-02-21,flat,70,5,2,false,false,""
2026-02-21,flat,70,5,1.5,false,false,""
2026-02-19,flat,20,10,,true,false,""
2026-02-19,flat,40,8,,true,false,""
2026-02-19,flat,60,5,,true,false,""
2026-02-19,flat,70,3,,true,false,""
2026-02-19,flat,80,1,,true,false,""
2026-02-19,flat,85,1,2.5,false,false,""
2026-02-18,flat,20,10,,true,false,""
2026-02-18,flat,40,8,,true,false,""
2026-02-18,flat,60,5,,true,false,""
2026-02-18,flat,70,3,,true,false,""
2026-02-18,flat,80,1,,true,false,""
2026-02-18,flat,91.5,1,0.5,false,false,""
2026-02-16,flat,20,10,,true,false,""
2026-02-16,flat,40,8,,true,false,""
2026-02-16,flat,60,5,,true,false,""
2026-02-16,flat,70,3,,true,false,""
2026-02-16,flat,80,1,,true,false,""
2026-02-16,flat,91,1,,true,false,""
2026-02-12,flat,20,10,,true,false,""
2026-02-12,flat,40,8,,true,false,""
2026-02-12,flat,60,5,,true,false,""
2026-02-12,flat,70,3,,true,false,""
2026-02-12,flat,80,1,,true,false,""
2026-02-12,flat,90.5,1,1,true,false,""
2026-02-12,flat,83,3,1.5,false,false,""
